"fecha","matricula_area","area_academica","periodo","año_y"
"2011-02-01","2541"," CIENCIAS DE LA SALUD","2011-I","2011"
"2011-02-01","752","CIENCIA Y TECNOLOGIA","2011-I","2011"
"2011-02-01","2716","CIENCIAS ECONÓMICAS, FINANCIERAS Y ADMINISTRATIVAS","2011-I","2011"
"2011-02-01","1128","ESTOMATOLOGIA","2011-I","2011"
"2011-02-01","466","CIENCIAS Y ARTES DEL HÁBITAT","2011-I","2011"
"2011-02-01","702","INGENIERIA DESARROLLO TECNOLOGICO PRODUCTIVO","2011-I","2011"
"2011-02-01","2677","CIENCIAS SOCIALES","2011-I","2011"
"2011-03-01","1151","CIENCIAS AGRÍCOLAS, PECUARIAS Y RECURSOS NATURALES","2011-I","2011"
"2011-05-01","4507","SIN AREA","2011-I","2011"
"2011-07-01","453","SIN AREA","2011-II","2011"
"2011-07-01","37","ESTOMATOLOGIA","2011-II","2011"
"2011-07-01","168","CIENCIAS AGRÍCOLAS, PECUARIAS Y RECURSOS NATURALES","2011-II","2011"
"2011-07-01","139","CIENCIAS Y ARTES DEL HÁBITAT","2011-II","2011"
"2011-07-01","184","CIENCIAS SOCIALES","2011-II","2011"
"2011-07-01","423","CIENCIAS DE LA EDUCACIÓN","2011-II","2011"
"2011-07-01","80","CIENCIA Y TECNOLOGIA","2011-II","2011"
"2011-09-01","250","INGENIERIA DESARROLLO TECNOLOGICO PRODUCTIVO","2011-II","2011"
"2011-11-01","45","CIENCIAS ECONÓMICAS, FINANCIERAS Y ADMINISTRATIVAS","2011-II","2011"
"2011-11-01","46"," CIENCIAS DE LA SALUD","2011-II","2011"
"2012-01-01","650","CIENCIAS Y ARTES DEL HÁBITAT","2012-I","2012"
"2012-01-01","2814","CIENCIAS SOCIALES","2012-I","2012"
"2012-01-01","1171","ESTOMATOLOGIA","2012-I","2012"
"2012-01-01","5145","SIN AREA","2012-I","2012"
"2012-01-01","3351","CIENCIAS DE LA EDUCACIÓN","2012-I","2012"
"2012-01-01","885","CIENCIA Y TECNOLOGIA","2012-I","2012"
"2012-01-01","1258","INGENIERIA DESARROLLO TECNOLOGICO PRODUCTIVO","2012-I","2012"
"2012-02-01","3771","CIENCIAS ECONÓMICAS, FINANCIERAS Y ADMINISTRATIVAS","2012-I","2012"
"2012-02-01","1275","CIENCIAS AGRÍCOLAS, PECUARIAS Y RECURSOS NATURALES","2012-I","2012"
"2012-05-01","2702"," CIENCIAS DE LA SALUD","2012-I","2012"
"2012-07-01","598","SIN AREA","2012-II","2012"
"2012-07-01","710","CIENCIAS DE LA EDUCACIÓN","2012-II","2012"
"2012-07-01","130"," CIENCIAS DE LA SALUD","2012-II","2012"
"2012-07-01","166","CIENCIA Y TECNOLOGIA","2012-II","2012"
"2012-07-01","220","CIENCIAS ECONÓMICAS, FINANCIERAS Y ADMINISTRATIVAS","2012-II","2012"
"2012-07-01","320","INGENIERIA DESARROLLO TECNOLOGICO PRODUCTIVO","2012-II","2012"
"2012-07-01","244","CIENCIAS AGRÍCOLAS, PECUARIAS Y RECURSOS NATURALES","2012-II","2012"
"2012-07-01","162","CIENCIAS Y ARTES DEL HÁBITAT","2012-II","2012"
"2012-07-01","534","CIENCIAS SOCIALES","2012-II","2012"
"2012-07-01","115","ESTOMATOLOGIA","2012-II","2012"
"2013-02-01","3872","CIENCIAS DE LA EDUCACIÓN","2013-I","2013"
"2013-02-01","1024","CIENCIA Y TECNOLOGIA","2013-I","2013"
"2013-02-01","4999","CIENCIAS ECONÓMICAS, FINANCIERAS Y ADMINISTRATIVAS","2013-I","2013"
"2013-02-01","1460","CIENCIAS AGRÍCOLAS, PECUARIAS Y RECURSOS NATURALES","2013-I","2013"
"2013-02-01","796","CIENCIAS Y ARTES DEL HÁBITAT","2013-I","2013"
"2013-02-01","1296","ESTOMATOLOGIA","2013-I","2013"
"2013-03-01","1507","INGENIERIA DESARROLLO TECNOLOGICO PRODUCTIVO","2013-I","2013"
"2013-03-01","3397","CIENCIAS SOCIALES","2013-I","2013"
"2013-05-01","2959"," CIENCIAS DE LA SALUD","2013-I","2013"
"2013-06-01","6092","SIN AREA","2013-I","2013"
"2013-07-01","244","CIENCIAS ECONÓMICAS, FINANCIERAS Y ADMINISTRATIVAS","2013-II","2013"
"2013-07-01","60"," CIENCIAS DE LA SALUD","2013-II","2013"
"2013-07-01","236","CIENCIAS AGRÍCOLAS, PECUARIAS Y RECURSOS NATURALES","2013-II","2013"
"2013-07-01","113","CIENCIAS Y ARTES DEL HÁBITAT","2013-II","2013"
"2013-07-01","348","CIENCIAS SOCIALES","2013-II","2013"
"2013-07-01","227","INGENIERIA DESARROLLO TECNOLOGICO PRODUCTIVO","2013-II","2013"
"2013-07-01","113","ESTOMATOLOGIA","2013-II","2013"
"2013-07-01","485","SIN AREA","2013-II","2013"
"2013-07-01","437","CIENCIAS DE LA EDUCACIÓN","2013-II","2013"
"2013-07-01","157","CIENCIA Y TECNOLOGIA","2013-II","2013"
"2014-01-01","968","CIENCIAS Y ARTES DEL HÁBITAT","2014-I","2014"
"2014-01-01","4397","CIENCIAS DE LA EDUCACIÓN","2014-I","2014"
"2014-01-01","4063","CIENCIAS SOCIALES","2014-I","2014"
"2014-01-01","1789","INGENIERIA DESARROLLO TECNOLOGICO PRODUCTIVO","2014-I","2014"
"2014-01-01","1444","ESTOMATOLOGIA","2014-I","2014"
"2014-01-01","1195","CIENCIA Y TECNOLOGIA","2014-I","2014"
"2014-01-01","7364","SIN AREA","2014-I","2014"
"2014-01-01","3144"," CIENCIAS DE LA SALUD","2014-I","2014"
"2014-01-01","6390","CIENCIAS ECONÓMICAS, FINANCIERAS Y ADMINISTRATIVAS","2014-I","2014"
"2014-01-01","1727","CIENCIAS AGRÍCOLAS, PECUARIAS Y RECURSOS NATURALES","2014-I","2014"
"2014-07-01","167","CIENCIA Y TECNOLOGIA","2014-II","2014"
"2014-07-01","324","SIN AREA","2014-II","2014"
"2014-07-01","426","CIENCIAS DE LA EDUCACIÓN","2014-II","2014"
"2014-07-01","139","CIENCIAS AGRÍCOLAS, PECUARIAS Y RECURSOS NATURALES","2014-II","2014"
"2014-07-01","112","CIENCIAS Y ARTES DEL HÁBITAT","2014-II","2014"
"2014-07-01","128","CIENCIAS ECONÓMICAS, FINANCIERAS Y ADMINISTRATIVAS","2014-II","2014"
"2014-07-01","177","CIENCIAS SOCIALES","2014-II","2014"
